id,sessionId,affect,affect_binary,context,timestamp,time_of_engagement,time_of_completion
1,1,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
2,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
3,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
4,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
5,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
6,2,Aufgeregt,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
7,3,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
8,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
9,3,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
10,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
11,4,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
12,4,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
13,4,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
14,4,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
15,4,Schläfrig,0,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
16,1,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
17,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
18,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
19,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
20,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
21,2,Aufgeregt,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
22,3,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
23,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
24,3,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
25,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
26,4,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
27,4,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
28,4,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
29,4,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
30,4,Schläfrig,0,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
31,1,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
32,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
33,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
34,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
35,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
36,2,Aufgeregt,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
37,3,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
38,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
39,3,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
40,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
41,4,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
42,4,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
43,4,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
44,4,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
45,4,Schläfrig,0,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
46,1,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
47,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
48,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
49,1,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
50,1,Erfreut,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
51,2,Aufgeregt,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
52,3,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
53,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
54,3,Ruhig,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
55,3,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
56,4,Zufrieden,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
57,4,Begeistert,1,Unterhaltung,1684233673.092,1684316908.774,1684316912.869
